index	label	hemisphere
0	Background	NA
1	17Networks_LH_VisCent_Striate_1	LH
2	17Networks_LH_VisCent_Striate_2	LH
3	17Networks_LH_VisCent_Striate_3	LH
4	17Networks_LH_VisCent_ExStr_1	LH
5	17Networks_LH_VisCent_ExStr_2	LH
6	17Networks_LH_VisCent_ExStr_3	LH
7	17Networks_LH_VisCent_ExStr_4	LH
8	17Networks_LH_VisCent_ExStr_5	LH
9	17Networks_LH_VisCent_ExStr_6	LH
10	17Networks_LH_VisCent_ExStr_7	LH
11	17Networks_LH_VisCent_ExStr_8	LH
12	17Networks_LH_VisCent_ExStr_9	LH
13	17Networks_LH_VisCent_ExStr_10	LH
14	17Networks_LH_VisCent_ExStr_11	LH
15	17Networks_LH_VisCent_ExStr_12	LH
16	17Networks_LH_VisCent_ExStr_13	LH
17	17Networks_LH_VisCent_ExStr_14	LH
18	17Networks_LH_VisCent_ExStr_15	LH
19	17Networks_LH_VisCent_ExStr_16	LH
20	17Networks_LH_VisCent_ExStr_17	LH
21	17Networks_LH_VisCent_ExStr_18	LH
22	17Networks_LH_VisCent_ExStr_19	LH
23	17Networks_LH_VisCent_ExStr_20	LH
24	17Networks_LH_VisCent_ExStr_21	LH
25	17Networks_LH_VisCent_ExStr_22	LH
26	17Networks_LH_VisCent_ExStr_23	LH
27	17Networks_LH_VisPeri_StriCal_1	LH
28	17Networks_LH_VisPeri_StriCal_2	LH
29	17Networks_LH_VisPeri_StriCal_3	LH
30	17Networks_LH_VisPeri_StriCal_4	LH
31	17Networks_LH_VisPeri_StriCal_5	LH
32	17Networks_LH_VisPeri_StriCal_6	LH
33	17Networks_LH_VisPeri_StriCal_7	LH
34	17Networks_LH_VisPeri_ExStrInf_1	LH
35	17Networks_LH_VisPeri_ExStrInf_2	LH
36	17Networks_LH_VisPeri_ExStrInf_3	LH
37	17Networks_LH_VisPeri_ExStrInf_4	LH
38	17Networks_LH_VisPeri_ExStrInf_5	LH
39	17Networks_LH_VisPeri_ExStrInf_6	LH
40	17Networks_LH_VisPeri_ExStrInf_7	LH
41	17Networks_LH_VisPeri_ExStrInf_8	LH
42	17Networks_LH_VisPeri_ExStrInf_9	LH
43	17Networks_LH_VisPeri_ExStrSup_1	LH
44	17Networks_LH_VisPeri_ExStrSup_2	LH
45	17Networks_LH_VisPeri_ExStrSup_3	LH
46	17Networks_LH_VisPeri_ExStrSup_4	LH
47	17Networks_LH_VisPeri_ExStrSup_5	LH
48	17Networks_LH_VisPeri_ExStrSup_6	LH
49	17Networks_LH_VisPeri_ExStrSup_7	LH
50	17Networks_LH_VisPeri_ExStrSup_8	LH
51	17Networks_LH_VisPeri_ExStrSup_9	LH
52	17Networks_LH_VisPeri_ExStrSup_10	LH
53	17Networks_LH_VisPeri_ExStrSup_11	LH
54	17Networks_LH_VisPeri_ExStrSup_12	LH
55	17Networks_LH_VisPeri_ExStrSup_13	LH
56	17Networks_LH_VisPeri_ExStrSup_14	LH
57	17Networks_LH_SomMotA_1	LH
58	17Networks_LH_SomMotA_2	LH
59	17Networks_LH_SomMotA_3	LH
60	17Networks_LH_SomMotA_4	LH
61	17Networks_LH_SomMotA_5	LH
62	17Networks_LH_SomMotA_6	LH
63	17Networks_LH_SomMotA_7	LH
64	17Networks_LH_SomMotA_8	LH
65	17Networks_LH_SomMotA_9	LH
66	17Networks_LH_SomMotA_10	LH
67	17Networks_LH_SomMotA_11	LH
68	17Networks_LH_SomMotA_12	LH
69	17Networks_LH_SomMotA_13	LH
70	17Networks_LH_SomMotA_14	LH
71	17Networks_LH_SomMotA_15	LH
72	17Networks_LH_SomMotA_16	LH
73	17Networks_LH_SomMotA_17	LH
74	17Networks_LH_SomMotA_18	LH
75	17Networks_LH_SomMotA_19	LH
76	17Networks_LH_SomMotA_20	LH
77	17Networks_LH_SomMotA_21	LH
78	17Networks_LH_SomMotA_22	LH
79	17Networks_LH_SomMotA_23	LH
80	17Networks_LH_SomMotA_24	LH
81	17Networks_LH_SomMotA_25	LH
82	17Networks_LH_SomMotA_26	LH
83	17Networks_LH_SomMotA_27	LH
84	17Networks_LH_SomMotA_28	LH
85	17Networks_LH_SomMotA_29	LH
86	17Networks_LH_SomMotA_30	LH
87	17Networks_LH_SomMotA_31	LH
88	17Networks_LH_SomMotA_32	LH
89	17Networks_LH_SomMotA_33	LH
90	17Networks_LH_SomMotA_34	LH
91	17Networks_LH_SomMotA_35	LH
92	17Networks_LH_SomMotA_36	LH
93	17Networks_LH_SomMotA_37	LH
94	17Networks_LH_SomMotA_38	LH
95	17Networks_LH_SomMotA_39	LH
96	17Networks_LH_SomMotA_40	LH
97	17Networks_LH_SomMotA_41	LH
98	17Networks_LH_SomMotA_42	LH
99	17Networks_LH_SomMotA_43	LH
100	17Networks_LH_SomMotB_Cent_1	LH
101	17Networks_LH_SomMotB_Cent_2	LH
102	17Networks_LH_SomMotB_Cent_3	LH
103	17Networks_LH_SomMotB_Cent_4	LH
104	17Networks_LH_SomMotB_Cent_5	LH
105	17Networks_LH_SomMotB_Cent_6	LH
106	17Networks_LH_SomMotB_Cent_7	LH
107	17Networks_LH_SomMotB_Cent_8	LH
108	17Networks_LH_SomMotB_Cent_9	LH
109	17Networks_LH_SomMotB_Cent_10	LH
110	17Networks_LH_SomMotB_S2_1	LH
111	17Networks_LH_SomMotB_S2_2	LH
112	17Networks_LH_SomMotB_S2_3	LH
113	17Networks_LH_SomMotB_S2_4	LH
114	17Networks_LH_SomMotB_S2_5	LH
115	17Networks_LH_SomMotB_S2_6	LH
