Index	Label	Hemisphere
124	17Networks_LH_ContA_IPS_3	LH
125	17Networks_LH_ContA_IPS_4	LH
126	17Networks_LH_ContA_IPS_5	LH
127	17Networks_LH_ContA_PFCd_1	LH
128	17Networks_LH_ContA_PFClv_1	LH
129	17Networks_LH_ContA_PFClv_2	LH
130	17Networks_LH_ContA_PFCl_1	LH
131	17Networks_LH_ContA_PFCl_2	LH
132	17Networks_LH_ContA_PFCl_3	LH
133	17Networks_LH_ContA_Cingm_1	LH
134	17Networks_LH_ContB_Temp_1	LH
135	17Networks_LH_ContB_Temp_2	LH
136	17Networks_LH_ContB_IPL_1	LH
137	17Networks_LH_ContB_IPL_2	LH
138	17Networks_LH_ContB_IPL_3	LH
139	17Networks_LH_ContB_PFCd_1	LH
140	17Networks_LH_ContB_PFClv_1	LH
141	17Networks_LH_ContB_PFClv_2	LH
142	17Networks_LH_ContB_PFClv_3	LH
143	17Networks_LH_ContB_PFCmp_1	LH
144	17Networks_LH_ContC_pCun_1	LH
145	17Networks_LH_ContC_pCun_2	LH
146	17Networks_LH_ContC_pCun_3	LH
147	17Networks_LH_ContC_Cingp_1	LH
148	17Networks_LH_ContC_Cingp_2	LH
149	17Networks_LH_DefaultA_IPL_1	LH
150	17Networks_LH_DefaultA_IPL_2	LH
151	17Networks_LH_DefaultA_PFCd_1	LH
152	17Networks_LH_DefaultA_PFCd_2	LH
153	17Networks_LH_DefaultA_PFCd_3	LH
154	17Networks_LH_DefaultA_pCunPCC_1	LH
155	17Networks_LH_DefaultA_pCunPCC_2	LH
156	17Networks_LH_DefaultA_pCunPCC_3	LH
157	17Networks_LH_DefaultA_pCunPCC_4	LH
158	17Networks_LH_DefaultA_pCunPCC_5	LH
159	17Networks_LH_DefaultA_pCunPCC_6	LH
160	17Networks_LH_DefaultA_pCunPCC_7	LH
161	17Networks_LH_DefaultA_PFCm_1	LH
162	17Networks_LH_DefaultA_PFCm_2	LH
163	17Networks_LH_DefaultA_PFCm_3	LH
164	17Networks_LH_DefaultA_PFCm_4	LH
165	17Networks_LH_DefaultA_PFCm_5	LH
166	17Networks_LH_DefaultA_PFCm_6	LH
167	17Networks_LH_DefaultB_Temp_1	LH
168	17Networks_LH_DefaultB_Temp_2	LH
169	17Networks_LH_DefaultB_Temp_3	LH
170	17Networks_LH_DefaultB_Temp_4	LH
171	17Networks_LH_DefaultB_Temp_5	LH
172	17Networks_LH_DefaultB_Temp_6	LH
173	17Networks_LH_DefaultB_IPL_1	LH
174	17Networks_LH_DefaultB_IPL_2	LH
175	17Networks_LH_DefaultB_PFCd_1	LH
176	17Networks_LH_DefaultB_PFCd_2	LH
177	17Networks_LH_DefaultB_PFCd_3	LH
178	17Networks_LH_DefaultB_PFCd_4	LH
179	17Networks_LH_DefaultB_PFCd_5	LH
180	17Networks_LH_DefaultB_PFCd_6	LH
181	17Networks_LH_DefaultB_PFCl_1	LH
182	17Networks_LH_DefaultB_PFCl_2	LH
183	17Networks_LH_DefaultB_PFCv_1	LH
184	17Networks_LH_DefaultB_PFCv_2	LH
185	17Networks_LH_DefaultB_PFCv_3	LH
186	17Networks_LH_DefaultB_PFCv_4	LH
187	17Networks_LH_DefaultB_PFCv_5	LH
188	17Networks_LH_DefaultC_IPL_1	LH
189	17Networks_LH_DefaultC_Rsp_1	LH
190	17Networks_LH_DefaultC_Rsp_2	LH
191	17Networks_LH_DefaultC_Rsp_3	LH
192	17Networks_LH_DefaultC_PHC_1	LH
193	17Networks_LH_DefaultC_PHC_2	LH
194	17Networks_LH_DefaultC_PHC_3	LH
195	17Networks_LH_TempPar_1	LH
196	17Networks_LH_TempPar_2	LH
197	17Networks_LH_TempPar_3	LH
198	17Networks_LH_TempPar_4	LH
199	17Networks_LH_TempPar_5	LH
200	17Networks_LH_TempPar_6	LH
201	17Networks_RH_VisCent_ExStr_1	RH
202	17Networks_RH_VisCent_ExStr_2	RH
203	17Networks_RH_VisCent_ExStr_3	RH
204	17Networks_RH_VisCent_ExStr_4	RH
205	17Networks_RH_VisCent_ExStr_5	RH
206	17Networks_RH_VisCent_ExStr_6	RH
207	17Networks_RH_VisCent_Striate_1	RH
208	17Networks_RH_VisCent_ExStr_7	RH
209	17Networks_RH_VisCent_ExStr_8	RH
210	17Networks_RH_VisCent_ExStr_9	RH
211	17Networks_RH_VisCent_ExStr_10	RH
212	17Networks_RH_VisCent_ExStr_11	RH
213	17Networks_RH_VisPeri_ExStrInf_1	RH
214	17Networks_RH_VisPeri_ExStrInf_2	RH
215	17Networks_RH_VisPeri_ExStrInf_3	RH
216	17Networks_RH_VisPeri_ExStrInf_4	RH
